nama_tempat,kategori,latitude,longitude,link_maps
Kantor Kecamatan Sidomukti,Kecamatan,-7.34742738523983,110.489513457672,https://maps.app.goo.gl/3TpwyeFC4DN7vqVP7
Kantor Kecamatan Argomulyo,Kecamatan,-7.35546062691955,110.505434384655,https://maps.app.goo.gl/PKVP4p2xrfjvXNZB6
Kantor Kecamatan Sidorejo,Kecamatan,-7.3075002994144,110.494304757672,https://maps.app.goo.gl/VCzRJRQSkhU9dsQk6
Kantor Kecamatan Tingkir,Kecamatan,-7.33724882473603,110.5184166,https://maps.app.goo.gl/FGnQ4memHTjvBDL69
Kantor Kelurahan Sidorejo Lor,Kelurahan,-7.30975535051404,110.4919766,https://maps.app.goo.gl/X7yh4gZBcHakHiiH8
Kantor Walikota Salatiga,Pemerintahan,-7.33103967739967,110.500519828836,https://maps.app.goo.gl/Vif1FEiEESjeRWgm7
ATR/BPN Kantah Kota Salatiga,Pemerintahan,-7.31918767174034,110.490474457672,https://maps.app.goo.gl/XkPc2JjhtanumDnB7
"Dinas Pekerjaan Umum & Penataan Ruang, Kota Salatiga",Pemerintahan,-7.33316089585838,110.504383317337,https://maps.app.goo.gl/JSfKFHMAzVYHYfpa9
Dinas Perhubungan Kota Salatiga,Pemerintahan,-7.34567350284553,110.506716213491,https://maps.app.goo.gl/4f3US2rwasiPcMdb9
Dinas Kependudukan Dan Pencatatan Sipil Kota Salatiga,Pemerintahan,-7.32406885665844,110.5055671,https://maps.app.goo.gl/Vid1dBSvLcPyTMnN7
RSUD dr. Soebarkat Tjitrodarmodjo Kota Salatiga,Kesehatan,-7.32692485175766,110.495437284655,https://maps.app.goo.gl/W6gZzYQuCA4EtuhS8
